customer_userid,user_age,user_height,user_size,user_weight,user_body_type,user_color
user_68,36,"5'5""",S,130 lbs.,Pear,white
user_69,31,"5'10""",S,145 lbs.,Inverted Triangle,white
user_70,30,"5'5""",M,135 lbs.,Pear,white
user_71,35,"5'9""",L,160 lbs.,Hourglass,white
user_72,33,"5'3""",M,135 lbs.,Hourglass,white
user_73,36,"5'2""",XS,117 lbs.,Pear,white
user_74,37,"5'5""",8,150 lbs.,Apple,denim medi...
user_75,63,"5'7""",14,0 lbs.,Inverted Triangle,denim medi...
user_76,33,"5'6""",6,140 lbs.,Straight,denim medi...
user_77,25,"5'3""",18 W,220 lbs.,Hourglass,denim medi...
user_78,28,"5'6""",0,140 lbs.,Straight,denim medi...
user_79,55,"5'5""",6,145 lbs.,Straight,denim medi...
user_80,28,"5'1""",16 W,185 lbs.,Hourglass,denim medi...
user_81,31,"5'1""",2,130 lbs.,Hourglass,denim medi...
user_82,30,"5'7""",18 W,0 lbs.,Straight,denim medi...
user_83,33,"5'5""",20 W,260 lbs.,Pear,denim medi...
user_84,23,"5'8""",12,190 lbs.,Hourglass,denim medi...
user_85,31,"5'8""",14,190 lbs.,Hourglass,denim medi...
user_86,29,"5'5""",4,135 lbs.,Hourglass,denim medi...
user_87,24,"5'9""",20 W,240 lbs.,Apple,denim medi...
user_88,27,"5'9""",10,160 lbs.,Straight,denim medi...
user_89,,,2,,,denim medi...
user_90,21,"5'4""",00,100 lbs.,,denim medi...
user_91,27,"5'5""",4,125 lbs.,Hourglass,denim medi...
user_92,28,"5'4""",4,120 lbs.,Straight,denim medi...
user_93,36,"5'9""",18 W,251 lbs.,Apple,denim medi...
user_94,32,"5'4""",2,122 lbs.,Straight,denim medi...
user_95,27,"5'8""",15,230 lbs.,Hourglass,denim medi...
user_96,27,"5'5""",6,145 lbs.,Straight,denim medi...
user_97,28,"5'10""",16 W,215 lbs.,Apple,denim medi...
user_98,29,"5'4""",2,0 lbs.,Hourglass,denim medi...
user_99,29,"5'11""",L,180 lbs.,Hourglass,ivory comb...
user_100,31,"5'9""",XXL,220 lbs.,Hourglass,lilac
user_101,33,6',L,175 lbs.,Pear,ivory comb...
user_102,25,"5'7""",L,150 lbs.,Hourglass,lilac
user_103,27,"5'8""",M,160 lbs.,Hourglass,ivory comb...
user_104,29,"5'7""",XXL,215 lbs.,Straight,lilac
user_105,29,"5'4""",S,135 lbs.,Hourglass,lilac
user_106,28,"5'7""",M,140 lbs.,Pear,ivory comb...
user_107,29,"5'8""",M,155 lbs.,Hourglass,lilac
user_108,27,"5'5""",L,165 lbs.,Hourglass,ivory comb...
user_109,27,"5'6""",M,150 lbs.,Hourglass,lilac
user_110,27,"5'8""",L,180 lbs.,Apple,ivory comb...
user_111,27,"5'4""",S,120 lbs.,Straight,lilac
user_112,28,"5'3""",XS,115 lbs.,Straight,lilac
user_113,27,"5'3""",L,160 lbs.,Hourglass,lilac
user_114,32,"5'4""",L,150 lbs.,Hourglass,lilac
user_115,28,"5'5""",L,160 lbs.,Pear,lilac
user_116,32,"5'7""",L,170 lbs.,Hourglass,lilac
user_117,31,"5'9""",M,140 lbs.,Pear,lilac
user_118,25,"5'5""",S,125 lbs.,Hourglass,lilac
user_119,29,"5'7""",S,130 lbs.,Straight,ivory comb...
user_120,26,"5'5""",S,128 lbs.,Hourglass,ivory comb...
user_121,32,"5'4""",S,135 lbs.,Straight,lilac
user_122,25,"5'10""",L,175 lbs.,Straight,lilac
user_123,32,"5'8""",S,130 lbs.,Hourglass,ivory comb...
user_124,35,"5'7""",S,140 lbs.,Straight,ivory comb...
user_125,32,"5'3""",S,138 lbs.,Apple,lilac
user_126,32,"5'4""",S,145 lbs.,Pear,lilac
user_127,,"5'4""",S,125 lbs.,,lilac
user_128,28,0',S,0 lbs.,,lilac
user_129,27,"5'7""",M,153 lbs.,Hourglass,ivory comb...
user_130,31,"5'2""",24,108 lbs.,Straight,black
user_131,48,"5'9""",32,215 lbs.,Apple,black
user_132,40,"5'8""",26,131 lbs.,Hourglass,black
user_133,40,"5'6""",27,128 lbs.,Straight,black
user_134,21,"5'8""",25,115 lbs.,Straight,black
user_135,49,"5'4""",27,128 lbs.,Hourglass,black
user_136,28,"5'7""",28,150 lbs.,Straight,black
user_137,61,"5'7""",27,130 lbs.,Hourglass,black
user_138,31,"5'8""",28,175 lbs.,Hourglass,black
user_139,29,"5'10""",31,170 lbs.,Hourglass,black
user_140,38,"5'4""",27,122 lbs.,Straight,black
user_141,35,"5'2""",32,185 lbs.,Pear,black
user_142,30,"5'6""",26,120 lbs.,Straight,black
user_143,24,"5'6""",32,185 lbs.,Straight,black
user_144,24,"5'9""",29,170 lbs.,Hourglass,black
user_145,39,"5'7""",28,135 lbs.,Hourglass,black
user_146,42,"5'4""",31,190 lbs.,Apple,black
user_147,28,"5'8""",27,145 lbs.,Hourglass,black
user_148,42,"5'4""",27,125 lbs.,Inverted Triangle,black
user_149,30,"5'2""",26,,Hourglass,black
user_150,43,"5'6""",28,138 lbs.,Hourglass,black
user_151,63,"5'4""",XL,213 lbs.,Apple,blue
user_152,,,XL P,,Hourglass,blue
user_153,42,"5'1""",L P,155 lbs.,Hourglass,blue
user_154,,"5'1""",M P,150 lbs.,Pear,blue
user_155,42,"5'4""",M,170 lbs.,Apple,blue
user_156,43,"5'8""",S,135 lbs.,Straight,blue
user_157,52,"5'8""",S,130 lbs.,Straight,blue
user_158,43,"5'9""",L,195 lbs.,Apple,blue
user_159,23,"5'4""",1X,200 lbs.,Apple,blue
user_160,44,"5'3""",M,148 lbs.,Hourglass,blue
user_161,23,"5'6""",XS,140 lbs.,Straight,blue
user_162,25,"5'4""",M,160 lbs.,Hourglass,blue
user_163,30,5',M,165 lbs.,Hourglass,blue
user_164,27,"5'3""",XS,110 lbs.,Hourglass,blue
user_165,28,"5'1""",XS,0 lbs.,Hourglass,blue
user_166,36,"5'2""",S P,130 lbs.,Hourglass,blue
user_167,27,"5'5""",M,160 lbs.,Apple,blue
user_168,48,"5'8""",XL,200 lbs.,Pear,blue
user_169,44,"5'3""",XS,124 lbs.,Apple,blue
user_170,27,"5'3""",2X,250 lbs.,Inverted Triangle,blue
user_171,27,"5'1""",XS P,110 lbs.,Hourglass,blue
user_172,61,"5'8""",M,163 lbs.,Inverted Triangle,blue
user_173,23,"5'8""",XS,130 lbs.,Straight,blue
user_174,37,5',XXS P,100 lbs.,Pear,blue
user_175,51,"5'4""",3X,,Hourglass,blue
user_176,28,"5'3""",S P,123 lbs.,Hourglass,blue
user_177,48,"5'1""",L,160 lbs.,Apple,blue
user_178,25,"5'7""",M,170 lbs.,Pear,blue
user_179,44,"5'3""",1X,235 lbs.,Apple,blue
user_180,23,"5'8""",1X,0 lbs.,Pear,blue
user_181,30,"5'4""",M,140 lbs.,,blue
user_182,,"5'6""",XL,207 lbs.,Pear,blue
user_183,24,"5'7""",M,145 lbs.,Straight,gold
user_184,27,"5'2""",S P,134 lbs.,Hourglass,gold
user_185,33,"5'6""",XS P,110 lbs.,Straight,gold
user_186,,,S,,,gold
user_187,23,5',XS P,110 lbs.,Hourglass,gold
user_188,24,"5'4""",L P,177 lbs.,Apple,gold
user_189,26,"5'2""",XS,110 lbs.,Hourglass,gold
user_190,31,"5'7""",S,160 lbs.,Pear,gold
user_191,,,S,,,gold
user_192,23,"5'4""",XS,118 lbs.,Inverted Triangle,gold
user_193,31,"5'6""",S,140 lbs.,Hourglass,gold
user_194,35,"5'7""",XS,130 lbs.,Straight,gold
user_195,27,"5'3""",XS P,125 lbs.,Straight,gold
user_196,23,"5'6""",S,140 lbs.,Hourglass,gold
user_197,25,"5'8""",XS,125 lbs.,Straight,gold
user_198,26,"5'4""",XS P,127 lbs.,Hourglass,gold
user_199,26,"5'7""",XS,126 lbs.,Pear,gold
user_200,25,"5'4""",S,128 lbs.,Hourglass,gold
user_201,27,"5'2""",XS P,115 lbs.,Hourglass,gold
user_202,26,"5'9""",XL,180 lbs.,Inverted Triangle,gold
user_203,25,"5'3""",S,117 lbs.,Hourglass,gold
user_204,28,"5'6""",M,145 lbs.,Hourglass,gold
user_205,28,"5'1""",S P,120 lbs.,Hourglass,gold
user_206,25,"5'9""",S,120 lbs.,Hourglass,gold
user_207,25,"5'6""",3X,230 lbs.,Hourglass,gold
user_208,33,"5'6""",XS,115 lbs.,Straight,orange mul...
user_209,35,"5'6""",M,145 lbs.,Straight,orange
user_210,,"5'4""",S,139 lbs.,Pear,peach
user_211,53,"5'1""",S,117 lbs.,Hourglass,plum
user_212,38,"5'6""",XS,130 lbs.,Straight,cocoa
user_213,38,"5'1""",S P,125 lbs.,Straight,holly
user_214,31,"5'11""",L,185 lbs.,Hourglass,sky
user_215,54,"5'8""",M,149 lbs.,Hourglass,plum
user_216,31,"5'5""",XS P,110 lbs.,Straight,denim ligh...
user_217,36,"5'7""",S,138 lbs.,Straight,cream
user_218,23,"5'2""",S,125 lbs.,Pear,peach
user_219,52,"5'6""",S,135 lbs.,Hourglass,light grey
user_220,30,"5'11""",L,165 lbs.,Hourglass,holly
user_221,34,"5'2""",S,148 lbs.,Hourglass,orange mul...
user_222,50,"5'5""",S,120 lbs.,Hourglass,red
user_223,37,"5'4""",M,155 lbs.,Straight,honey
user_224,44,"5'3""",S P,134 lbs.,Hourglass,light grey
user_225,37,"5'5""",1X,230 lbs.,Hourglass,cream
user_226,28,"5'9""",M,142 lbs.,Straight,black
user_227,33,"5'6""",S,145 lbs.,Pear,honey
user_228,55,"5'7""",1X,,Apple,plum
user_229,29,"5'11""",M,200 lbs.,Pear,honey
user_230,40,"5'3""",S,128 lbs.,Pear,orange mul...
user_231,38,"5'9""",L,165 lbs.,Hourglass,neutral
user_232,55,"5'3""",XS,129 lbs.,Straight,light grey
user_233,33,"5'3""",M,160 lbs.,Hourglass,red
user_234,38,"5'4""",S,140 lbs.,Hourglass,washed bla...
user_235,35,"5'1""",M,135 lbs.,Apple,washed bla...
user_236,44,"5'3""",XS,137 lbs.,Hourglass,denim ligh...
user_237,37,"5'5""",S,135 lbs.,Hourglass,botanical ...
user_238,32,"5'8""",L,160 lbs.,Hourglass,washed bla...
user_239,64,"5'1""",L P,140 lbs.,Inverted Triangle,washed bla...
user_240,53,"5'5""",4,125 lbs.,Hourglass,denim dark
user_241,27,"5'2""",2 P,115 lbs.,Straight,denim dark
user_242,38,"5'6""",8,142 lbs.,Straight,denim dark
user_243,23,"5'3""",6 P,135 lbs.,,denim dark
user_244,39,"5'3""",4 P,127 lbs.,Pear,denim dark
user_245,32,"5'6""",4,135 lbs.,Hourglass,denim dark
user_246,34,"5'5""",10,160 lbs.,Hourglass,denim dark
user_247,32,"5'6""",6,135 lbs.,Hourglass,denim dark
user_248,53,"5'6""",4,125 lbs.,Straight,denim dark
user_249,42,"5'5""",4,130 lbs.,Hourglass,denim dark
user_250,27,"5'4""",6,155 lbs.,Straight,denim dark
user_251,43,"5'2""",4 P,120 lbs.,Hourglass,denim dark
user_252,33,5',6 P,129 lbs.,Hourglass,denim dark
user_253,44,"5'6""",6,140 lbs.,Inverted Triangle,denim dark
user_254,27,"5'2""",0,115 lbs.,Hourglass,denim dark
user_255,35,"5'5""",2,127 lbs.,Hourglass,denim dark
user_256,44,"5'2""",4,130 lbs.,Straight,denim dark
user_257,,,8,,,denim dark
user_258,39,"5'1""",0 P,110 lbs.,Hourglass,denim dark
user_259,0,"5'5""",12,150 lbs.,Straight,denim dark
user_260,32,"5'7""",8,160 lbs.,Hourglass,denim dark
user_261,25,"5'9""",8,169 lbs.,Pear,denim dark
user_262,29,"5'6""",8,160 lbs.,Hourglass,denim dark
user_263,28,"5'4""",10,150 lbs.,Hourglass,denim dark
user_264,34,"5'4""",0,120 lbs.,Pear,denim dark
user_265,23,"5'3""",0,117 lbs.,,denim dark
user_266,27,5',00 P,100 lbs.,Straight,denim dark
user_267,30,"5'10""",14,185 lbs.,Hourglass,denim dark
user_268,30,"5'2""",10,145 lbs.,Pear,denim dark
user_269,32,"5'5""",8,150 lbs.,Hourglass,denim dark
user_270,25,5',2,120 lbs.,Hourglass,denim dark
user_271,22,"5'2""",0 P,120 lbs.,,denim dark
user_272,,,0,,,denim dark
user_273,29,"5'5""",0,118 lbs.,Straight,denim dark
user_274,43,"5'6""",6,140 lbs.,Hourglass,denim dark
user_275,37,"5'5""",8,150 lbs.,Pear,denim dark
user_276,45,"5'11""",12,200 lbs.,Hourglass,denim dark
user_277,27,"4'11""",14 P,170 lbs.,Hourglass,denim dark
user_278,35,"5'4""",6,138 lbs.,Straight,denim dark
user_279,29,"5'4""",8,170 lbs.,Hourglass,denim dark
user_280,,,12,,,denim dark
user_281,32,"5'10""",6,130 lbs.,Pear,denim dark
user_282,30,"5'2""",8 P,155 lbs.,Hourglass,denim dark
user_283,25,"5'6""",8,130 lbs.,Straight,denim dark
user_284,43,"5'2""",4 P,118 lbs.,Hourglass,denim dark
user_285,22,"5'2""",0,117 lbs.,Straight,denim dark
user_286,41,"5'2""",8 P,160 lbs.,Pear,denim dark
user_287,29,"5'5""",12,170 lbs.,Apple,denim dark
user_288,24,"5'2""",6,140 lbs.,Straight,denim dark
user_289,33,"5'4""",8,145 lbs.,Hourglass,denim dark
user_290,26,"5'8""",4,130 lbs.,Hourglass,denim dark
user_291,37,"5'3""",16 P,180 lbs.,Pear,denim dark
user_292,30,"5'4""",8 P,152 lbs.,Hourglass,denim dark
user_293,26,"5'6""",2,123 lbs.,Hourglass,denim dark
user_294,55,"5'8""",8,132 lbs.,,denim dark
user_295,35,"5'8""",8,138 lbs.,Pear,denim dark
user_296,24,"5'8""",6,148 lbs.,Hourglass,denim dark
user_297,29,"5'7""",6,135 lbs.,Pear,denim dark
user_298,36,"5'5""",12,170 lbs.,Apple,denim dark
user_299,41,"5'9""",12,183 lbs.,Inverted Triangle,denim dark
user_300,32,"5'4""",M,155 lbs.,Hourglass,black & wh...
user_301,26,"5'5""",L,188 lbs.,Apple,red
user_302,34,"5'4""",S,135 lbs.,,black & wh...
user_303,31,"5'7""",M,165 lbs.,Hourglass,red
user_304,29,"5'4""",L,175 lbs.,Straight,red
user_305,50,"5'5""",S,133 lbs.,Pear,black & wh...
user_306,,,M,,,black & wh...
user_307,35,"5'7""",M,165 lbs.,Hourglass,red
user_308,30,"5'8""",XL,220 lbs.,Inverted Triangle,black & wh...
user_309,37,"5'4""",L,190 lbs.,Pear,black & wh...
user_310,30,"5'4""",S,130 lbs.,Pear,red
user_311,31,"5'8""",1X,235 lbs.,Hourglass,red
user_312,28,"5'3""",S P,,Straight,red
user_313,41,"5'5""",M,170 lbs.,Pear,red
user_314,30,"6'1""",M,200 lbs.,Straight,black & wh...
user_315,36,"5'2""",S P,140 lbs.,Hourglass,black & wh...
user_316,56,"5'2""",L P,160 lbs.,Straight,red
user_317,44,"5'11""",M,168 lbs.,Hourglass,black & wh...
user_318,30,"5'4""",L,190 lbs.,Straight,red
user_319,29,"5'5""",M,160 lbs.,Apple,red
user_320,28,"5'5""",S,148 lbs.,Straight,red
user_321,32,"6'2""",2X,350 lbs.,Hourglass,black & wh...
user_322,34,"5'8""",S,148 lbs.,Straight,red
user_323,34,"5'6""",S,140 lbs.,Straight,black & wh...
user_324,41,"5'5""",1X,245 lbs.,Apple,red
user_325,,,XL,,,black & wh...
user_326,37,"5'5""",XS P,127 lbs.,Straight,red
user_327,30,"5'4""",M,150 lbs.,Hourglass,red
user_328,32,"5'4""",L,200 lbs.,Pear,black & wh...
user_329,27,"5'10""",XL,0 lbs.,Apple,black & wh...
user_330,28,"5'3""",L,205 lbs.,Straight,red
user_331,29,"5'2""",S P,140 lbs.,Pear,red
user_332,24,"5'4""",XS,120 lbs.,Straight,black & wh...
user_333,32,"5'4""",1X,250 lbs.,Hourglass,red
user_334,45,"5'3""",1X,219 lbs.,Apple,black & wh...
user_335,35,"5'7""",S,130 lbs.,Hourglass,black & wh...
user_336,48,"5'6""",M,173 lbs.,Hourglass,red
user_337,29,"5'6""",M,135 lbs.,Inverted Triangle,red
user_338,29,"5'1""",XS P,115 lbs.,Straight,red
user_339,31,"5'5""",XS,115 lbs.,Straight,red
user_340,31,"5'1""",XXS P,110 lbs.,Straight,red
user_341,26,"5'4""",L,185 lbs.,Hourglass,black & wh...
user_342,39,"5'4""",M,160 lbs.,Pear,red
user_343,35,"5'2""",M P,150 lbs.,Apple,black & wh...
user_344,30,"5'2""",1X,250 lbs.,Apple,red
user_345,36,"5'10""",1X,240 lbs.,Apple,black & wh...
user_346,39,"5'4""",M,160 lbs.,Straight,red
user_347,33,"5'8""",S,140 lbs.,Hourglass,black & wh...
user_348,29,"5'1""",XXS P,105 lbs.,Straight,red
user_349,34,"5'8""",1X,265 lbs.,Apple,red
user_350,34,"5'4""",XL,180 lbs.,Apple,red
user_351,27,"5'6""",M,158 lbs.,Straight,red
user_352,51,"5'7""",S,150 lbs.,Hourglass,black & wh...
user_353,35,"5'6""",S,160 lbs.,Hourglass,black & wh...
user_354,26,"5'1""",S P,0 lbs.,,red
user_355,52,"5'6""",M,150 lbs.,Straight,black & wh...
user_356,30,"5'9""",L,180 lbs.,Pear,black & wh...
user_357,25,"5'6""",L,190 lbs.,Hourglass,red
user_358,22,"5'3""",XS,135 lbs.,Hourglass,black & wh...
user_359,27,"5'4""",M,160 lbs.,Hourglass,red
user_360,28,"5'3""",XL P,160 lbs.,Apple,red
user_361,26,"5'6""",S,145 lbs.,Hourglass,red
user_362,0,"5'3""",S,130 lbs.,Pear,black
user_363,51,"4'11""",XXS P,106 lbs.,Hourglass,black
user_364,24,"5'7""",XL,210 lbs.,Pear,black
user_365,46,"5'8""",3X,320 lbs.,Pear,black
user_366,33,"5'9""",2X,265 lbs.,,black
user_367,36,"4'11""",L,171 lbs.,Hourglass,rose
user_368,43,"5'4""",S,139 lbs.,Hourglass,rose
user_369,30,"5'2""",S,135 lbs.,Pear,black
user_370,38,"5'2""",XS P,115 lbs.,Straight,rose
user_371,34,"5'6""",M,145 lbs.,Pear,black
user_372,26,"5'6""",L,190 lbs.,Hourglass,black
user_373,19,"5'4""",S,150 lbs.,Straight,black
user_374,31,5',M,146 lbs.,Apple,black
user_375,45,"5'10""",M,175 lbs.,Pear,rose
user_376,52,"5'6""",S,160 lbs.,Apple,black
user_377,29,"5'3""",S P,135 lbs.,Hourglass,black
user_378,53,"5'6""",XS,117 lbs.,Hourglass,black
user_379,51,"5'4""",S,130 lbs.,Pear,black
user_380,,,S,,Pear,black
user_381,45,"5'10""",S,140 lbs.,Straight,rose
user_382,38,"5'4""",M,156 lbs.,Hourglass,black
user_383,47,"5'6""",XS,128 lbs.,Straight,black
user_384,33,"5'5""",L,165 lbs.,Pear,rose
user_385,40,"5'3""",M P,170 lbs.,Pear,rose
user_386,31,"5'9""",M,0 lbs.,Straight,black
user_387,45,"5'9""",L,172 lbs.,Hourglass,black
user_388,48,"5'3""",S,145 lbs.,Pear,black
user_389,44,"5'5""",XS,110 lbs.,Straight,rose
user_390,25,"5'7""",XS,110 lbs.,Inverted Triangle,black
user_391,28,"5'10""",L,210 lbs.,Hourglass,black
user_392,33,"5'8""",L,180 lbs.,Straight,black
user_393,19,"5'9""",M,156 lbs.,Straight,rose
user_394,,"5'5""",M,177 lbs.,Hourglass,black
user_395,27,"5'3""",XS,118 lbs.,Hourglass,rose
user_396,21,"5'4""",XS,120 lbs.,Hourglass,black
user_397,27,"5'8""",M,145 lbs.,Hourglass,black
user_398,24,"5'7""",L,,Hourglass,black
user_399,32,"5'8""",XS,130 lbs.,Pear,black
user_400,43,"5'5""",M,150 lbs.,Straight,rose
user_401,36,"5'10""",L,175 lbs.,Straight,rose
user_402,55,"5'5""",M,140 lbs.,Hourglass,black
user_403,27,"5'4""",M P,175 lbs.,Pear,rose
user_404,23,"5'3""",L,155 lbs.,Hourglass,black
user_405,29,"5'3""",M,160 lbs.,Straight,rose
user_406,47,"5'3""",XS,115 lbs.,Pear,rose
user_407,28,"5'6""",XL,186 lbs.,Hourglass,black
user_408,29,"5'1""",L,175 lbs.,Straight,black
user_409,31,"5'5""",M,138 lbs.,Hourglass,black
user_410,33,,M,,,black
user_411,25,"5'4""",XL,180 lbs.,Hourglass,black
user_412,24,5',S,125 lbs.,Inverted Triangle,black
user_413,30,"5'1""",L,150 lbs.,Hourglass,black
user_414,27,"5'7""",L,165 lbs.,Hourglass,black
user_415,29,"5'2""",M,150 lbs.,Inverted Triangle,black
user_416,29,"5'3""",XS,110 lbs.,Pear,black
user_417,37,"5'1""",S,124 lbs.,Hourglass,black
user_418,28,"5'4""",XS,119 lbs.,Straight,black
user_419,32,"5'7""",XL,205 lbs.,Hourglass,black
user_420,36,"5'3""",S,125 lbs.,Straight,beige
user_421,31,"5'10""",M,165 lbs.,Hourglass,beige
user_422,28,"5'9""",S,145 lbs.,Pear,beige
user_423,,"5'7""",S,115 lbs.,Straight,beige
user_424,0,"5'5""",M,0 lbs.,Straight,black
user_425,36,"5'5""",L,190 lbs.,Pear,black
user_426,31,5',S,136 lbs.,Straight,black
user_427,30,"5'7""",S,125 lbs.,Straight,black
user_428,35,"5'5""",L,180 lbs.,Hourglass,beige
user_429,26,"5'7""",M,160 lbs.,Hourglass,black
user_430,35,"5'3""",S,128 lbs.,Straight,green
user_431,31,"5'6""",M,140 lbs.,Hourglass,beige
user_432,24,"5'8""",M,150 lbs.,Straight,beige
user_433,46,"5'5""",M,167 lbs.,Pear,black
user_434,22,"5'7""",L,179 lbs.,Pear,black
user_435,21,6',L,175 lbs.,Straight,black
user_436,30,"5'10""",M,170 lbs.,Pear,black
user_437,36,"5'7""",L,190 lbs.,Pear,green
user_438,25,"5'5""",S,130 lbs.,Hourglass,black
user_439,30,"5'4""",L,170 lbs.,Pear,black
user_440,27,"5'7""",L,180 lbs.,Hourglass,black
user_441,48,"5'10""",L,150 lbs.,Straight,black
user_442,36,"5'8""",L,160 lbs.,Hourglass,black
user_443,25,"5'10""",M,145 lbs.,Hourglass,black
user_444,47,"5'2""",M,145 lbs.,Apple,beige
user_445,59,"5'4""",S,128 lbs.,Straight,black
user_446,0,"5'10""",L,210 lbs.,Hourglass,beige
user_447,42,"5'7""",S,157 lbs.,Straight,black
user_448,24,"5'2""",L,190 lbs.,Hourglass,black
user_449,18,"5'5""",M,160 lbs.,Hourglass,black
user_450,45,"5'7""",L,160 lbs.,Hourglass,beige
user_451,33,"5'1""",XL P,160 lbs.,Apple,melon
user_452,,,S,,,melon
user_453,30,"5'9""",M,145 lbs.,Pear,black
user_454,27,"5'5""",L,180 lbs.,Pear,black
user_455,33,"5'4""",L,175 lbs.,Hourglass,melon
user_456,24,"5'5""",L,212 lbs.,Straight,black
user_457,29,"5'7""",S,125 lbs.,Straight,black
user_458,33,"5'5""",M,170 lbs.,Hourglass,melon
user_459,33,"5'8""",XL,235 lbs.,Hourglass,black
user_460,28,"5'5""",S,110 lbs.,Straight,melon
user_461,27,"4'11""",M,145 lbs.,Hourglass,red
user_462,33,"5'9""",XL,215 lbs.,Hourglass,red
user_463,46,"5'5""",M,147 lbs.,Hourglass,red
user_464,37,"5'5""",S,122 lbs.,Pear,red
user_465,61,"5'8""",XL,232 lbs.,Hourglass,black
user_466,36,"5'10""",L,200 lbs.,Hourglass,black
user_467,28,"5'2""",L,190 lbs.,,black
user_468,26,"5'1""",XS,125 lbs.,Hourglass,red
user_469,23,"5'11""",M,150 lbs.,Hourglass,black
user_470,38,5',M P,160 lbs.,Hourglass,melon
user_471,61,"5'2""",M,145 lbs.,Hourglass,melon
user_472,36,"5'4""",L,148 lbs.,Inverted Triangle,red
user_473,44,"5'3""",M,170 lbs.,Hourglass,black
user_474,35,5',S,112 lbs.,Straight,melon
user_475,29,"5'10""",M,150 lbs.,Hourglass,black
user_476,34,"5'1""",XS,115 lbs.,Hourglass,black
